date,hostel,meal,pwaste,twaste,foodsample,kwaste,hostel type
02-03-2025,A,breakfast,6.8,1.8,0.5,0.1,girls
02-03-2025,B,breakfast,5.3,2.4,0.6,7.6,boys
02-03-2025,C,breakfast,3.1,1.6,0.8,0.011,boys
02-03-2025,D,breakfast,13.11,2.6,0.8,3.8,boys
02-03-2025,FRG,breakfast,4.11,nan,nan,2.5,boys
02-03-2025,M,breakfast,0.01031,9.5,0.6,8,boys
02-03-2025,N,breakfast,1.8,0.4,0.0005,2.4,girls
02-03-2025,O,breakfast,10.2,6.3,0.8,3.4,boys
02-03-2025,PG,breakfast,1.8,nan,nan,0.2,girls
02-03-2025,Q,breakfast,4.7,2.3,0.6,1.2,girls
02-03-2025,A,lunch,11.7,7.2,0.6,5.3,girls
02-03-2025,B,lunch,12.6,6.4,0.6,4.5,boys
02-03-2025,C,lunch,20.5,2.7,0.5,2,boys
02-03-2025,D,lunch,20.5,4,0.6,7.3,boys
02-03-2025,FRG,lunch,6.1,nan,nan,6.5,boys
02-03-2025,M,lunch,15.7,10.2,0.6,6.2,boys
02-03-2025,N,lunch,6.4,4.7,0.5,12.3,girls
02-03-2025,O,lunch,21.9,9.71,0.5,5.4,boys
02-03-2025,PG,lunch,3,nan,nan,1,girls
02-03-2025,Q,lunch,9.2,3.6,0.5,4,girls
02-03-2025,A,dinner,13.3,5.7,0.5,6.6,girls
02-03-2025,B,dinner,12.6,4.1,0.5,8,boys
02-03-2025,C,dinner,6.2,3.3,0.5,4.3,boys
02-03-2025,D,dinner,18.2,3.3,0.5,4.3,boys
02-03-2025,FRG,dinner,5.5,nan,nan,10.5,boys
02-03-2025,M,dinner,15.2,5.8,0.5,5.9,boys
02-03-2025,N,dinner,5.8,3.1,0.5,5,girls
02-03-2025,O,dinner,14.3,4.7,0.5,5.7,boys
02-03-2025,PG,dinner,3,0.1,,0.1,girls
02-03-2025,Q,dinner,8.2,4.3,0.5,12.5,girls
03-03-2025,A,breakfast,6.8,4.2,0.7,5.8,girls
03-03-2025,B,breakfast,9.4,8.1,0.6,3.4,boys
03-03-2025,C,breakfast,4.1,1.5,0.8,11.32,boys
03-03-2025,D,breakfast,11.3,3.7,0.6,3.41,boys
03-03-2025,FRG,breakfast,4.6,nan,nan,4.3,boys
