date,hostel,capacity,Electricity
2/3/2025,A,928,20388
2/3/2025,B,724,16204
2/3/2025,C,387,9227
2/3/2025,D,928,20688
2/3/2025,FRG,480,11380
2/3/2025,M,1148,23208
2/3/2025,N,500,9500
2/3/2025,O,928,18388
2/3/2025,PG,404,7284
2/3/2025,Q,928,18188
3/3/2025,A,730,16230
3/3/2025,B,730,16330
3/3/2025,C,729,16409
3/3/2025,D,728,16488
3/3/2025,FRG,727,16567
3/3/2025,M,726,14346
3/3/2025,N,725,14225
3/3/2025,O,724,14104
3/3/2025,PG,723,13983
3/3/2025,Q,722,13862
4/3/2025,A,721,16041
4/3/2025,B,720,16120
4/3/2025,C,719,16199
4/3/2025,D,719,16299
4/3/2025,FRG,718,16378
4/3/2025,M,717,14157
4/3/2025,N,716,14036
4/3/2025,O,715,13915
4/3/2025,PG,714,13794
4/3/2025,Q,713,13673
5/3/2025,A,712,15852
5/3/2025,B,711,15931
5/3/2025,C,710,16010
5/3/2025,D,709,16089
5/3/2025,FRG,709,16189
5/3/2025,M,708,13968
5/3/2025,N,707,13847
5/3/2025,O,706,13726
5/3/2025,PG,705,13605
5/3/2025,Q,704,13484
6/3/2025,A,703,15663
6/3/2025,B,702,15742
6/3/2025,C,701,15821
6/3/2025,D,700,15900
6/3/2025,FRG,699,15979
6/3/2025,M,698,13758
6/3/2025,N,698,13658
6/3/2025,O,697,13537
6/3/2025,PG,696,13416
6/3/2025,Q,695,13295
7/3/2025,A,694,15474
7/3/2025,B,693,15553
7/3/2025,C,692,15632
7/3/2025,D,691,15711
7/3/2025,FRG,690,15790
7/3/2025,M,689,13569
7/3/2025,N,688,13448
7/3/2025,O,687,13327
7/3/2025,PG,687,13227
8/3/2025,Q,686,13106
8/3/2025,A,685,15285
8/3/2025,B,684,15364
8/3/2025,C,683,15443
8/3/2025,D,682,15522
8/3/2025,FRG,681,15601
8/3/2025,M,680,13380
8/3/2025,N,679,13259
8/3/2025,O,678,13138
8/3/2025,PG,677,13017
8/3/2025,Q,676,12896
9/3/2025,A,676,15096
9/3/2025,B,675,15175
9/3/2025,C,674,15254
9/3/2025,D,673,15333
9/3/2025,FRG,672,15412
9/3/2025,M,671,13191
9/3/2025,N,670,13070
9/3/2025,O,669,12949
9/3/2025,PG,668,12828
9/3/2025,Q,667,12707
10/3/2025,A,666,14886
10/3/2025,B,665,14965
10/3/2025,C,665,15065
10/3/2025,D,664,15144
10/3/2025,FRG,663,15223
10/3/2025,M,662,13002
10/3/2025,N,661,12881
10/3/2025,O,660,12760
10/3/2025,PG,659,12639
10/3/2025,Q,658,12518
11/3/2025,A,657,14697
11/3/2025,B,656,14776
11/3/2025,C,655,14855
11/3/2025,D,655,14955
11/3/2025,FRG,654,15034
11/3/2025,M,653,12813
11/3/2025,N,652,12692
11/3/2025,O,651,12571
11/3/2025,PG,650,12450
11/3/2025,Q,649,12329
12/3/2025,A,648,14508
12/3/2025,B,647,14587
12/3/2025,C,646,14666
12/3/2025,D,645,14745
12/3/2025,FRG,644,14824
12/3/2025,M,644,12624
12/3/2025,N,643,12503
12/3/2025,O,642,12382
12/3/2025,PG,641,12261
12/3/2025,Q,640,12140
