date,hostel,capacity,total_kwh,per_capita_kwh,is_weekend,temperature
2025-02-25,A,928,4112.49,4.4316,False,31.0
2025-02-25,B,724,2896.72,4.001,False,31.0
2025-02-25,C,387,1699.19,4.3907,False,31.0
2025-02-25,D,928,5823.6,6.2754,False,31.0
2025-02-25,FRG,480,2141.08,4.4606,False,31.0
2025-02-25,M,1148,6791.29,5.9158,False,31.0
2025-02-25,N,500,2289.16,4.5783,False,31.0
2025-02-25,O,928,4825.93,5.2004,False,31.0
2025-02-25,PG,404,2151.85,5.3264,False,31.0
2025-02-25,Q,928,3999.7,4.31,False,31.0
2025-02-26,A,928,4081.51,4.3982,False,33.4
2025-02-26,B,724,3197.06,4.4158,False,33.4
2025-02-26,C,387,2016.49,5.2106,False,33.4
2025-02-26,D,928,5369.31,5.7859,False,33.4
2025-02-26,FRG,480,1968.84,4.1017,False,33.4
2025-02-26,M,1148,6300.51,5.4882,False,33.4
2025-02-26,N,500,2075.27,4.1505,False,33.4
2025-02-26,O,928,5426.55,5.8476,False,33.4
2025-02-26,PG,404,2153.43,5.3303,False,33.4
2025-02-26,Q,928,4350.56,4.6881,False,33.4
2025-02-27,A,928,3678.15,3.9635,False,31.3
2025-02-27,B,724,3014.43,4.1636,False,31.3
2025-02-27,C,387,1821.84,4.7076,False,31.3
2025-02-27,D,928,5656.76,6.0956,False,31.3
2025-02-27,FRG,480,1906.57,3.972,False,31.3
2025-02-27,M,1148,6823.97,5.9442,False,31.3
2025-02-27,N,500,2139.95,4.2799,False,31.3
2025-02-27,O,928,4814.37,5.1879,False,31.3
2025-02-27,PG,404,1932.5,4.7834,False,31.3
2025-02-27,Q,928,4394.81,4.7358,False,31.3
2025-02-28,A,928,4011.12,4.3223,False,28.1
2025-02-28,B,724,3492.56,4.824,False,28.1
2025-02-28,C,387,1933.22,4.9954,False,28.1
2025-02-28,D,928,5413.36,5.8334,False,28.1
2025-02-28,FRG,480,2082.91,4.3394,False,28.1
2025-02-28,M,1148,6735.62,5.8673,False,28.1
2025-02-28,N,500,2196.4,4.3928,False,28.1
2025-02-28,O,928,5002.48,5.3906,False,28.1
2025-02-28,PG,404,2000.57,4.9519,False,28.1
2025-02-28,Q,928,4121.89,4.4417,False,28.1
2025-03-01,A,928,4969.94,5.3555,True,29.1
2025-03-01,B,724,4094.9,5.6559,True,29.1
2025-03-01,C,387,2423.62,6.2626,True,29.1
2025-03-01,D,928,5776.01,6.2241,True,29.1
2025-03-01,FRG,480,2420.3,5.0423,True,29.1
2025-03-01,M,1148,7458.31,6.4968,True,29.1
2025-03-01,N,500,2360.26,4.7205,True,29.1
2025-03-01,O,928,6563.15,7.0724,True,29.1
2025-03-01,PG,404,2624.51,6.4963,True,29.1
2025-03-01,Q,928,5381.85,5.7994,True,29.1
2025-03-02,A,928,5266.94,5.6756,True,23.8
2025-03-02,B,724,3945.73,5.4499,True,23.8
2025-03-02,C,387,2362.79,6.1054,True,23.8
2025-03-02,D,928,6012.86,6.4794,True,23.8
2025-03-02,FRG,480,2239.25,4.6651,True,23.8
2025-03-02,M,1148,6804.04,5.9269,True,23.8
2025-03-02,N,500,2433.29,4.8666,True,23.8
2025-03-02,O,928,6083.63,6.5556,True,23.8
2025-03-02,PG,404,2417.62,5.9842,True,23.8
2025-03-02,Q,928,5431.14,5.8525,True,23.8
2025-03-03,A,928,3859.48,4.1589,False,25.6
2025-03-03,B,724,2923.51,4.038,False,25.6
2025-03-03,C,387,2044.26,5.2823,False,25.6
2025-03-03,D,928,5689.74,6.1312,False,25.6
2025-03-03,FRG,480,2167.52,4.5157,False,25.6
2025-03-03,M,1148,5924.3,5.1605,False,25.6
2025-03-03,N,500,2065.35,4.1307,False,25.6
2025-03-03,O,928,4879.91,5.2585,False,25.6
2025-03-03,PG,404,1858.51,4.6003,False,25.6
2025-03-03,Q,928,4431.36,4.7752,False,25.6
2025-03-04,A,928,4140.78,4.462,False,25.2
2025-03-04,B,724,3058.51,4.2245,False,25.2
2025-03-04,C,387,2012.87,5.2012,False,25.2
2025-03-04,D,928,5240.26,5.6468,False,25.2
2025-03-04,FRG,480,1940.86,4.0435,False,25.2
2025-03-04,M,1148,6294.19,5.4827,False,25.2
2025-03-04,N,500,1953.43,3.9069,False,25.2
2025-03-04,O,928,5421.51,5.8421,False,25.2
2025-03-04,PG,404,2143.89,5.3067,False,25.2
2025-03-04,Q,928,4025.53,4.3379,False,25.2
2025-03-05,A,928,3627.24,3.9087,False,23.1
2025-03-05,B,724,3402.3,4.6993,False,23.1
2025-03-05,C,387,1759.91,4.5476,False,23.1
2025-03-05,D,928,5842.82,6.2961,False,23.1
2025-03-05,FRG,480,2143.7,4.466,False,23.1
2025-03-05,M,1148,6691.67,5.829,False,23.1
2025-03-05,N,500,1911.24,3.8225,False,23.1
2025-03-05,O,928,4699.55,5.0642,False,23.1
2025-03-05,PG,404,1964.91,4.8636,False,23.1
2025-03-05,Q,928,4690.47,5.0544,False,23.1
2025-03-06,A,928,4157.25,4.4798,False,29.0
2025-03-06,B,724,3462.76,4.7828,False,29.0
2025-03-06,C,387,1980.26,5.117,False,29.0
2025-03-06,D,928,5795.62,6.2453,False,29.0
2025-03-06,FRG,480,1880.98,3.9187,False,29.0
2025-03-06,M,1148,6254.33,5.448,False,29.0
2025-03-06,N,500,2147.76,4.2955,False,29.0
2025-03-06,O,928,4656.78,5.0181,False,29.0
2025-03-06,PG,404,1949.8,4.8262,False,29.0
2025-03-06,Q,928,4651.41,5.0123,False,29.0
2025-03-07,A,928,3761.62,4.0535,False,24.5
2025-03-07,B,724,3347.33,4.6234,False,24.5
2025-03-07,C,387,1796.82,4.6429,False,24.5
2025-03-07,D,928,4950.4,5.3345,False,24.5
2025-03-07,FRG,480,2076.67,4.3264,False,24.5
2025-03-07,M,1148,5921.41,5.158,False,24.5
2025-03-07,N,500,2139.11,4.2782,False,24.5
2025-03-07,O,928,5420.55,5.8411,False,24.5
2025-03-07,PG,404,1889.02,4.6758,False,24.5
2025-03-07,Q,928,4313.67,4.6484,False,24.5
2025-03-08,A,928,4985.62,5.3724,True,22.0
2025-03-08,B,724,4086.95,5.645,True,22.0
2025-03-08,C,387,2361.21,6.1013,True,22.0
2025-03-08,D,928,6831.95,7.362,True,22.0
2025-03-08,FRG,480,2431.1,5.0648,True,22.0
2025-03-08,M,1148,7557.51,6.5832,True,22.0
2025-03-08,N,500,2452.36,4.9047,True,22.0
2025-03-08,O,928,5724.25,6.1684,True,22.0
2025-03-08,PG,404,2314.45,5.7288,True,22.0
2025-03-08,Q,928,4874.13,5.2523,True,22.0
2025-03-09,A,928,4331.32,4.6674,True,26.1
2025-03-09,B,724,3745.78,5.1737,True,26.1
2025-03-09,C,387,2417.74,6.2474,True,26.1
2025-03-09,D,928,6927.95,7.4655,True,26.1
2025-03-09,FRG,480,2214.96,4.6145,True,26.1
2025-03-09,M,1148,7695.02,6.703,True,26.1
2025-03-09,N,500,2723.44,5.4469,True,26.1
2025-03-09,O,928,6213.79,6.6959,True,26.1
2025-03-09,PG,404,2331.86,5.7719,True,26.1
2025-03-09,Q,928,5093.37,5.4885,True,26.1
2025-03-10,A,928,4125.26,4.4453,False,26.7
2025-03-10,B,724,3416.08,4.7183,False,26.7
2025-03-10,C,387,1922.42,4.9675,False,26.7
2025-03-10,D,928,5257.42,5.6653,False,26.7
2025-03-10,FRG,480,2174.05,4.5293,False,26.7
2025-03-10,M,1148,5655.1,4.926,False,26.7
2025-03-10,N,500,2048.95,4.0979,False,26.7
2025-03-10,O,928,4911.08,5.2921,False,26.7
2025-03-10,PG,404,1997.42,4.9441,False,26.7
2025-03-10,Q,928,4270.48,4.6018,False,26.7
2025-03-11,A,928,3904.57,4.2075,False,31.9
2025-03-11,B,724,2989.43,4.129,False,31.9
2025-03-11,C,387,2057.01,5.3153,False,31.9
2025-03-11,D,928,5458.4,5.8819,False,31.9
2025-03-11,FRG,480,2127.88,4.4331,False,31.9
2025-03-11,M,1148,6703.07,5.8389,False,31.9
2025-03-11,N,500,2182.51,4.365,False,31.9
2025-03-11,O,928,5262.16,5.6704,False,31.9
2025-03-11,PG,404,2078.01,5.1436,False,31.9
2025-03-11,Q,928,4428.62,4.7722,False,31.9
2025-03-12,A,928,3854.45,4.1535,False,28.7
2025-03-12,B,724,2971.4,4.1041,False,28.7
2025-03-12,C,387,1944.97,5.0258,False,28.7
2025-03-12,D,928,5060.73,5.4534,False,28.7
2025-03-12,FRG,480,1891.39,3.9404,False,28.7
2025-03-12,M,1148,6161.78,5.3674,False,28.7
2025-03-12,N,500,2180.26,4.3605,False,28.7
2025-03-12,O,928,4878.27,5.2568,False,28.7
2025-03-12,PG,404,2051.95,5.0791,False,28.7
2025-03-12,Q,928,4303.12,4.637,False,28.7
2025-03-13,A,928,4168.28,4.4917,False,25.9
2025-03-13,B,724,3101.12,4.2833,False,25.9
2025-03-13,C,387,1761.86,4.5526,False,25.9
2025-03-13,D,928,5437.94,5.8598,False,25.9
2025-03-13,FRG,480,1956.42,4.0759,False,25.9
2025-03-13,M,1148,6333.48,5.517,False,25.9
2025-03-13,N,500,2146.59,4.2932,False,25.9
2025-03-13,O,928,5091.94,5.487,False,25.9
2025-03-13,PG,404,1923.5,4.7611,False,25.9
2025-03-13,Q,928,4640.47,5.0005,False,25.9
2025-03-14,A,928,4265.17,4.5961,False,21.9
2025-03-14,B,724,3049.06,4.2114,False,21.9
2025-03-14,C,387,1825.97,4.7183,False,21.9
2025-03-14,D,928,5793.03,6.2425,False,21.9
2025-03-14,FRG,480,1966.71,4.0973,False,21.9
2025-03-14,M,1148,5979.72,5.2088,False,21.9
2025-03-14,N,500,1932.33,3.8647,False,21.9
2025-03-14,O,928,5215.81,5.6205,False,21.9
2025-03-14,PG,404,2187.98,5.4158,False,21.9
2025-03-14,Q,928,4393.26,4.7341,False,21.9
2025-03-15,A,928,5052.0,5.444,True,26.6
2025-03-15,B,724,4051.61,5.5961,True,26.6
2025-03-15,C,387,2173.78,5.617,True,26.6
2025-03-15,D,928,5802.77,6.253,True,26.6
2025-03-15,FRG,480,2502.24,5.213,True,26.6
2025-03-15,M,1148,7225.97,6.2944,True,26.6
2025-03-15,N,500,2346.34,4.6927,True,26.6
2025-03-15,O,928,6578.99,7.0894,True,26.6
2025-03-15,PG,404,2231.24,5.5229,True,26.6
2025-03-15,Q,928,5436.32,5.8581,True,26.6
2025-03-16,A,928,5166.77,5.5676,True,25.2
2025-03-16,B,724,4133.93,5.7098,True,25.2
2025-03-16,C,387,2116.23,5.4683,True,25.2
2025-03-16,D,928,6459.49,6.9607,True,25.2
2025-03-16,FRG,480,2393.11,4.9857,True,25.2
2025-03-16,M,1148,7453.9,6.4929,True,25.2
2025-03-16,N,500,2650.96,5.3019,True,25.2
2025-03-16,O,928,6576.75,7.087,True,25.2
2025-03-16,PG,404,2556.9,6.329,True,25.2
2025-03-16,Q,928,5626.16,6.0627,True,25.2
2025-03-17,A,928,4088.37,4.4056,False,26.4
2025-03-17,B,724,3042.65,4.2026,False,26.4
2025-03-17,C,387,1827.21,4.7215,False,26.4
2025-03-17,D,928,4907.07,5.2878,False,26.4
2025-03-17,FRG,480,2184.9,4.5519,False,26.4
2025-03-17,M,1148,6239.37,5.435,False,26.4
2025-03-17,N,500,1912.8,3.8256,False,26.4
2025-03-17,O,928,5516.45,5.9445,False,26.4
2025-03-17,PG,404,1954.16,4.837,False,26.4
2025-03-17,Q,928,4262.99,4.5937,False,26.4
2025-03-18,A,928,3601.34,3.8808,False,31.9
2025-03-18,B,724,3434.95,4.7444,False,31.9
2025-03-18,C,387,1951.86,5.0436,False,31.9
2025-03-18,D,928,4953.04,5.3373,False,31.9
2025-03-18,FRG,480,2148.79,4.4766,False,31.9
2025-03-18,M,1148,6483.22,5.6474,False,31.9
2025-03-18,N,500,2265.73,4.5315,False,31.9
2025-03-18,O,928,5520.62,5.9489,False,31.9
2025-03-18,PG,404,2160.98,5.349,False,31.9
2025-03-18,Q,928,4186.35,4.5112,False,31.9
2025-03-19,A,928,4050.33,4.3646,False,21.3
2025-03-19,B,724,3278.79,4.5287,False,21.3
2025-03-19,C,387,1758.28,4.5434,False,21.3
2025-03-19,D,928,5577.1,6.0098,False,21.3
2025-03-19,FRG,480,2014.32,4.1965,False,21.3
2025-03-19,M,1148,5855.87,5.1009,False,21.3
2025-03-19,N,500,2054.94,4.1099,False,21.3
2025-03-19,O,928,4906.22,5.2869,False,21.3
2025-03-19,PG,404,2199.72,5.4448,False,21.3
2025-03-19,Q,928,4435.26,4.7794,False,21.3
2025-03-20,A,928,4379.31,4.7191,False,32.1
2025-03-20,B,724,3292.62,4.5478,False,32.1
2025-03-20,C,387,2044.75,5.2836,False,32.1
2025-03-20,D,928,5562.94,5.9945,False,32.1
2025-03-20,FRG,480,2137.91,4.454,False,32.1
2025-03-20,M,1148,6429.13,5.6003,False,32.1
2025-03-20,N,500,2102.43,4.2049,False,32.1
2025-03-20,O,928,4574.66,4.9296,False,32.1
2025-03-20,PG,404,1835.77,4.544,False,32.1
2025-03-20,Q,928,4612.57,4.9704,False,32.1
2025-03-21,A,928,3847.74,4.1463,False,30.8
2025-03-21,B,724,3516.58,4.8572,False,30.8
2025-03-21,C,387,2007.22,5.1866,False,30.8
2025-03-21,D,928,5518.5,5.9467,False,30.8
2025-03-21,FRG,480,2077.41,4.3279,False,30.8
2025-03-21,M,1148,5649.12,4.9208,False,30.8
2025-03-21,N,500,2221.84,4.4437,False,30.8
2025-03-21,O,928,5477.11,5.9021,False,30.8
2025-03-21,PG,404,1938.74,4.7989,False,30.8
2025-03-21,Q,928,4071.41,4.3873,False,30.8
2025-03-22,A,928,4876.36,5.2547,True,22.1
2025-03-22,B,724,4071.92,5.6242,True,22.1
2025-03-22,C,387,2307.13,5.9616,True,22.1
2025-03-22,D,928,6919.7,7.4566,True,22.1
2025-03-22,FRG,480,2461.16,5.1274,True,22.1
2025-03-22,M,1148,7638.86,6.6541,True,22.1
2025-03-22,N,500,2680.11,5.3602,True,22.1
2025-03-22,O,928,5537.33,5.9669,True,22.1
2025-03-22,PG,404,2449.48,6.0631,True,22.1
2025-03-22,Q,928,5325.86,5.7391,True,22.1
2025-03-23,A,928,5213.77,5.6183,True,25.3
2025-03-23,B,724,3893.94,5.3784,True,25.3
2025-03-23,C,387,2173.04,5.6151,True,25.3
2025-03-23,D,928,6529.32,7.0359,True,25.3
2025-03-23,FRG,480,2281.41,4.7529,True,25.3
2025-03-23,M,1148,7938.23,6.9148,True,25.3
2025-03-23,N,500,2734.83,5.4697,True,25.3
2025-03-23,O,928,6469.14,6.9711,True,25.3
2025-03-23,PG,404,2168.15,5.3667,True,25.3
2025-03-23,Q,928,5427.09,5.8482,True,25.3
2025-03-24,A,928,3730.98,4.0205,False,33.6
2025-03-24,B,724,2955.09,4.0816,False,33.6
2025-03-24,C,387,1925.97,4.9767,False,33.6
2025-03-24,D,928,5559.81,5.9912,False,33.6
2025-03-24,FRG,480,1921.47,4.0031,False,33.6
2025-03-24,M,1148,5976.46,5.206,False,33.6
2025-03-24,N,500,2069.07,4.1381,False,33.6
2025-03-24,O,928,5569.32,6.0014,False,33.6
2025-03-24,PG,404,1931.81,4.7817,False,33.6
2025-03-24,Q,928,4269.84,4.6011,False,33.6
2025-03-25,A,928,4264.86,4.5958,False,26.4
2025-03-25,B,724,3192.18,4.4091,False,26.4
2025-03-25,C,387,2024.16,5.2304,False,26.4
2025-03-25,D,928,5552.86,5.9837,False,26.4
2025-03-25,FRG,480,1864.7,3.8848,False,26.4
2025-03-25,M,1148,6075.7,5.2924,False,26.4
2025-03-25,N,500,1905.14,3.8103,False,26.4
2025-03-25,O,928,5161.23,5.5617,False,26.4
2025-03-25,PG,404,1982.47,4.9071,False,26.4
2025-03-25,Q,928,4170.17,4.4937,False,26.4
2025-03-26,A,928,3660.85,3.9449,False,22.0
2025-03-26,B,724,2968.73,4.1005,False,22.0
2025-03-26,C,387,1901.47,4.9133,False,22.0
2025-03-26,D,928,5426.13,5.8471,False,22.0
2025-03-26,FRG,480,2160.47,4.501,False,22.0
2025-03-26,M,1148,6473.35,5.6388,False,22.0
2025-03-26,N,500,2043.28,4.0866,False,22.0
2025-03-26,O,928,4971.39,5.3571,False,22.0
2025-03-26,PG,404,2127.32,5.2657,False,22.0
2025-03-26,Q,928,4709.35,5.0747,False,22.0
