date,hostel,capacity,Water
2/3/2025,A,928,134280
2/3/2025,B,724,107740
2/3/2025,C,387,63245
2/3/2025,D,928,137280
2/3/2025,FRG,480,77800
2/3/2025,M,1148,145980
2/3/2025,N,500,57500
2/3/2025,O,928,114280
2/3/2025,PG,404,42540
2/3/2025,Q,928,112280
3/3/2025,A,730,107550
3/3/2025,B,730,108550
3/3/2025,C,729,109415
3/3/2025,D,728,110280
3/3/2025,FRG,727,111145
3/3/2025,M,726,89010
3/3/2025,N,725,87875
3/3/2025,O,724,86740
3/3/2025,PG,723,85605
3/3/2025,Q,722,84470
4/3/2025,A,721,106335
4/3/2025,B,720,107200
4/3/2025,C,719,108065
4/3/2025,D,719,109065
4/3/2025,FRG,718,109930
4/3/2025,M,717,87795
4/3/2025,N,716,86660
4/3/2025,O,715,85525
4/3/2025,PG,714,84390
4/3/2025,Q,713,83255
5/3/2025,A,712,105120
5/3/2025,B,711,105985
5/3/2025,C,710,106850
5/3/2025,D,709,107715
5/3/2025,FRG,709,108715
5/3/2025,M,708,86580
5/3/2025,N,707,85445
5/3/2025,O,706,84310
5/3/2025,PG,705,83175
5/3/2025,Q,704,82040
6/3/2025,A,703,103905
6/3/2025,B,702,104770
6/3/2025,C,701,105635
6/3/2025,D,700,106500
6/3/2025,FRG,699,107365
6/3/2025,M,698,85230
6/3/2025,N,698,84230
6/3/2025,O,697,83095
6/3/2025,PG,696,81960
6/3/2025,Q,695,80825
7/3/2025,A,694,102690
7/3/2025,B,693,103555
7/3/2025,C,692,104420
7/3/2025,D,691,105285
7/3/2025,FRG,690,106150
7/3/2025,M,689,84015
7/3/2025,N,688,82880
7/3/2025,O,687,81745
7/3/2025,PG,687,80745
8/3/2025,Q,686,79610
8/3/2025,A,685,101475
8/3/2025,B,684,102340
8/3/2025,C,683,103205
8/3/2025,D,682,104070
8/3/2025,FRG,681,104935
8/3/2025,M,680,82800
8/3/2025,N,679,81665
8/3/2025,O,678,80530
8/3/2025,PG,677,79395
8/3/2025,Q,676,78260
9/3/2025,A,676,100260
9/3/2025,B,675,101125
9/3/2025,C,674,101990
9/3/2025,D,673,102855
9/3/2025,FRG,672,103720
9/3/2025,M,671,81585
9/3/2025,N,670,80450
9/3/2025,O,669,79315
9/3/2025,PG,668,78180
9/3/2025,Q,667,77045
10/3/2025,A,666,98910
10/3/2025,B,665,99775
10/3/2025,C,665,100775
10/3/2025,D,664,101640
10/3/2025,FRG,663,102505
10/3/2025,M,662,80370
10/3/2025,N,661,79235
10/3/2025,O,660,78100
10/3/2025,PG,659,76965
10/3/2025,Q,658,75830
11/3/2025,A,657,97695
11/3/2025,B,656,98560
11/3/2025,C,655,99425
11/3/2025,D,655,100425
11/3/2025,FRG,654,101290
11/3/2025,M,653,79155
11/3/2025,N,652,78020
11/3/2025,O,651,76885
11/3/2025,PG,650,75750
11/3/2025,Q,649,74615
12/3/2025,A,648,96480
12/3/2025,B,647,97345
12/3/2025,C,646,98210
12/3/2025,D,645,99075
12/3/2025,FRG,644,99940
12/3/2025,M,644,77940
12/3/2025,N,643,76805
12/3/2025,O,642,75670
12/3/2025,PG,641,74535
12/3/2025,Q,640,73400
