date,hostel,capacity,total_kiloliters,per_capita_kiloliters,is_weekend,temperature
2025-02-25,A,928,398.16,0.4291,False,27.6
2025-02-25,B,724,301.48,0.4164,False,27.6
2025-02-25,C,387,153.25,0.396,False,27.6
2025-02-25,D,928,341.55,0.368,False,27.6
2025-02-25,FRG,480,164.96,0.3437,False,27.6
2025-02-25,M,1148,459.45,0.4002,False,27.6
2025-02-25,N,500,189.35,0.3787,False,27.6
2025-02-25,O,928,412.9,0.4449,False,27.6
2025-02-25,PG,404,159.03,0.3936,False,27.6
2025-02-25,Q,928,382.69,0.4124,False,27.6
2025-02-26,A,928,355.68,0.3833,False,33.1
2025-02-26,B,724,303.94,0.4198,False,33.1
2025-02-26,C,387,150.09,0.3878,False,33.1
2025-02-26,D,928,319.27,0.344,False,33.1
2025-02-26,FRG,480,161.94,0.3374,False,33.1
2025-02-26,M,1148,403.36,0.3514,False,33.1
2025-02-26,N,500,212.48,0.425,False,33.1
2025-02-26,O,928,419.52,0.4521,False,33.1
2025-02-26,PG,404,176.68,0.4373,False,33.1
2025-02-26,Q,928,443.0,0.4774,False,33.1
2025-02-27,A,928,396.79,0.4276,False,26.8
2025-02-27,B,724,326.17,0.4505,False,26.8
2025-02-27,C,387,136.14,0.3518,False,26.8
2025-02-27,D,928,309.39,0.3334,False,26.8
2025-02-27,FRG,480,164.99,0.3437,False,26.8
2025-02-27,M,1148,397.16,0.346,False,26.8
2025-02-27,N,500,213.55,0.4271,False,26.8
2025-02-27,O,928,440.78,0.475,False,26.8
2025-02-27,PG,404,158.62,0.3926,False,26.8
2025-02-27,Q,928,397.51,0.4284,False,26.8
2025-02-28,A,928,375.42,0.4045,False,34.6
2025-02-28,B,724,289.67,0.4001,False,34.6
2025-02-28,C,387,143.18,0.37,False,34.6
2025-02-28,D,928,308.73,0.3327,False,34.6
2025-02-28,FRG,480,174.36,0.3633,False,34.6
2025-02-28,M,1148,404.47,0.3523,False,34.6
2025-02-28,N,500,190.72,0.3814,False,34.6
2025-02-28,O,928,433.8,0.4675,False,34.6
2025-02-28,PG,404,157.41,0.3896,False,34.6
2025-02-28,Q,928,429.38,0.4627,False,34.6
2025-03-01,A,928,445.21,0.4798,True,23.4
2025-03-01,B,724,377.1,0.5209,True,23.4
2025-03-01,C,387,161.81,0.4181,True,23.4
2025-03-01,D,928,408.35,0.44,True,23.4
2025-03-01,FRG,480,228.39,0.4758,True,23.4
2025-03-01,M,1148,562.54,0.49,True,23.4
2025-03-01,N,500,255.1,0.5102,True,23.4
2025-03-01,O,928,511.96,0.5517,True,23.4
2025-03-01,PG,404,200.02,0.4951,True,23.4
2025-03-01,Q,928,476.6,0.5136,True,23.4
2025-03-02,A,928,426.12,0.4592,True,33.9
2025-03-02,B,724,324.33,0.448,True,33.9
2025-03-02,C,387,166.4,0.43,True,33.9
2025-03-02,D,928,385.4,0.4153,True,33.9
2025-03-02,FRG,480,229.07,0.4772,True,33.9
2025-03-02,M,1148,528.81,0.4606,True,33.9
2025-03-02,N,500,238.19,0.4764,True,33.9
2025-03-02,O,928,490.65,0.5287,True,33.9
2025-03-02,PG,404,181.13,0.4483,True,33.9
2025-03-02,Q,928,517.45,0.5576,True,33.9
2025-03-03,A,928,414.85,0.447,False,26.0
2025-03-03,B,724,302.21,0.4174,False,26.0
2025-03-03,C,387,148.29,0.3832,False,26.0
2025-03-03,D,928,310.69,0.3348,False,26.0
2025-03-03,FRG,480,195.62,0.4075,False,26.0
2025-03-03,M,1148,444.77,0.3874,False,26.0
2025-03-03,N,500,207.63,0.4153,False,26.0
2025-03-03,O,928,369.82,0.3985,False,26.0
2025-03-03,PG,404,172.51,0.427,False,26.0
2025-03-03,Q,928,366.56,0.395,False,26.0
2025-03-04,A,928,419.36,0.4519,False,25.5
